-3.62	0
0.49	-0.25
0.46	-0.33
0.49	-0.35
-0.01	-0.38
-0.28	-0.39
-0.12	-0.39
0.06	-0.41
-0.35	-0.41
-0.12	-0.4
-0.2	-0.42
-0.03	-0.41
-0.05	-0.42
-0.15	-0.42
-0.23	-0.42
-0.25	-0.42
-0.55	-0.42
-0.53	-0.42
-0.44	-0.42
-0.49	-0.42
-0.23	-0.43
-0.02	-0.42
-0.41	-0.43
-0.15	-0.43
-0.19	-0.43
0.11	-0.42
-0.3	-0.44
-0.29	-0.43
0.19	-0.43
-0.24	-0.43
0.08	-0.43
-0.21	-0.44
0.07	-0.44
-0.12	-0.44
0.41	-0.44
0.07	-0.44
0.55	-0.44
0.38	-0.44
-0.05	-0.44
0.01	-0.44
0.32	-0.45
0.13	-0.45
0.27	-0.44
0.48	-0.46
1.16	-0.45
0.72	-0.45
0.49	-0.45
0.81	-0.45
0.49	-0.46
0.63	-0.46
1.16	-0.46
0.72	-0.45
1.13	-0.46
1.02	-0.46
1.8	-0.47
1.2	-0.46
1.07	-0.47
1.92	-0.46
1.58	-0.48
1.9	-0.46
2.07	-0.48
1.46	-0.47
2.07	-0.47
2.06	-0.48
2.41	-0.47
1.87	-0.48
2.33	-0.47
2.03	-0.48
2.85	-0.48
2.54	-0.49
3	-0.48
2.19	-0.48
2.9	-0.48
2.93	-0.49
2.69	-0.48
2.51	-0.48
3.19	-0.48
3.52	-0.49
3.07	-0.5
3.27	-0.48
3.3	-0.49
3.61	-0.48
3.69	-0.5
3.55	-0.49
3.77	-0.49
3.55	-0.49

